"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH","Preschool teacher",unknown,not_delivering,adset,32,33,1.03125,"Link Clicks",2,0.19,0.095,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Preschool teacher",male,not_delivering,adset,86,87,1.0116279069767,"Link Clicks",2,0.18,0.09,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Preschool teacher",unknown,not_delivering,adset,41,41,1,"Link Clicks",2,0.14,0.07,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - PL","Truck Driver",female,not_delivering,adset,149,152,1.0201342281879,"Link Clicks",16,0.12,0.0075,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Nurse",unknown,not_delivering,adset,16,26,1.625,,,0.11,,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH","Truck Driver",unknown,not_delivering,adset,15,16,1.0666666666667,"Link Clicks",1,0.10010615711253,0.10010615711253,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Machine Learning",unknown,not_delivering,adset,24,29,1.2083333333333,,,0.1,,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Hairdresser",unknown,not_delivering,adset,24,24,1,,,0.09,,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Preschool teacher",unknown,not_delivering,adset,21,21,1,,,0.09,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH3",Camionneur·se,unknown,inactive,adset,20,20,1,,,0.09,,2020-10-08,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH3","Éducateur·trice jeunes enfants",unknown,inactive,adset,14,15,1.0714285714286,"Link Clicks",2,0.09,0.045,2020-10-08,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Legal Counsel",unknown,not_delivering,adset,44,44,1,,,0.08,,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated discrimination CH2","Sales low",unknown,inactive,adset,17,19,1.1176470588235,,,0.07,,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR",Hairdresser,unknown,not_delivering,adset,31,32,1.0322580645161,,,0.07,,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG",Nurse,unknown,not_delivering,adset,10,10,1,,,0.06,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR",Nurse,unknown,not_delivering,adset,26,26,1,,,0.06,,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH",Nurse,unknown,not_delivering,adset,14,14,1,,,0.06,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses low",unknown,inactive,adset,7,7,1,,,0.05,,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Machine Learning",unknown,not_delivering,adset,16,18,1.125,,,0.05,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Preschool teacher",unknown,not_delivering,adset,71,89,1.2535211267606,,,0.05,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH",Hairdresser,unknown,not_delivering,adset,8,9,1.125,,,0.05,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Preschool teacher",unknown,not_delivering,adset,33,33,1,"Link Clicks",1,0.05,0.05,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Truck Driver",unknown,not_delivering,adset,29,30,1.0344827586207,,,0.04,,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Machine Learning",unknown,not_delivering,adset,14,18,1.2857142857143,,,0.04,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Truck Driver",unknown,not_delivering,adset,10,15,1.5,,,0.04,,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Legal Counsel",unknown,not_delivering,adset,9,9,1,,,0.04,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - gendered",unknown,not_delivering,adset,12,12,1,"Link Clicks",1,0.04,0.04,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR",Nurse,unknown,not_delivering,adset,10,10,1,,,0.04,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Machine Learning",unknown,not_delivering,adset,24,24,1,,,0.04,,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Legal Counsel",unknown,not_delivering,adset,47,59,1.2553191489362,,,0.03,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Sales high",unknown,inactive,adset,22,32,1.4545454545455,"Link Clicks",1,0.03,0.03,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Legal Counsel",unknown,not_delivering,adset,12,12,1,,,0.03,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses high",unknown,inactive,adset,7,8,1.1428571428571,,,0.03,,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Truck Driver",unknown,not_delivering,adset,8,8,1,,,0.03,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Machine Learning",unknown,not_delivering,adset,10,10,1,"Link Clicks",1,0.03,0.03,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Machine Learning",unknown,not_delivering,adset,18,18,1,,,0.03,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES",Nurse,unknown,not_delivering,adset,5,6,1.2,,,0.03,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Machine Learning",unknown,not_delivering,adset,45,51,1.1333333333333,,,0.02,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES",Hairdresser,unknown,not_delivering,adset,8,8,1,,,0.02,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR",Hairdresser,unknown,not_delivering,adset,10,10,1,"Link Clicks",1,0.02,0.02,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG",Hairdresser,unknown,not_delivering,adset,3,3,1,,,0.02,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - feminine",unknown,not_delivering,adset,14,14,1,,,0.02,,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Legal Counsel",unknown,not_delivering,adset,17,17,1,,,0.02,,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Preschool teacher",unknown,not_delivering,adset,12,13,1.0833333333333,,,0.02,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - image-lipstick",unknown,not_delivering,adset,12,13,1.0833333333333,,,0.02,,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Preschool teacher",unknown,not_delivering,adset,21,21,1,"Link Clicks",4,0.02,0.005,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Truck Driver",unknown,not_delivering,adset,6,6,1,,,0.02,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Truck Driver",unknown,not_delivering,adset,12,12,1,"Link Clicks",1,0.01,0.01,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Legal Counsel",unknown,not_delivering,adset,4,7,1.75,,,0.01,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Truck Driver",unknown,not_delivering,adset,2,2,1,,,0,,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - baseline",unknown,not_delivering,adset,7,7,1,,,0,,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL",Hairdresser,unknown,not_delivering,adset,7,7,1,,,0,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - image-road",unknown,not_delivering,adset,4,4,1,,,0,,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL",Nurse,unknown,not_delivering,adset,4,4,1,,,0,,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Legal Counsel",unknown,not_delivering,adset,8,8,1,,,0,,2020-08-31,Ongoing,2020-08-26,2020-10-15
