"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",male,100,100,1,"Link Clicks",2,0.1960396039604,0.39207920792079,3.92079208,2,0.1960396,2,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,221,221,1,"Link Clicks",5,0.15920792079208,0.7960396039604,3.60198916,5,0.15920792,2.262443438914,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",unknown,1,1,1,,,,0.011881188118812,11.88118812,,,,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,156,156,1,,,,0.48176470588235,3.08823529,,,,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,187,187,1,"Link Clicks",2,0.28411764705882,0.56823529411765,3.03869141,2,0.28411765,1.0695187165775,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,120,123,1.025,"Link Clicks",2,0.26658823529412,0.53317647058824,4.33476805,2,0.26658824,1.6260162601626,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,2,2,1,,,,0.012117647058824,6.05882353,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,103,105,1.0194174757282,,,,0.48470588235294,4.6162465,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,229,230,1.0043668122271,"Link Clicks",1,0.86341463414634,0.86341463414634,3.75397667,1,0.86341463,0.43478260869565,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,1,1,1,,,,0.014390243902439,14.3902439,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,81,81,1,"Link Clicks",1,0.30219512195122,0.30219512195122,3.73080397,1,0.30219512,1.2345679012346,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,355,355,1,"Link Clicks",18,0.060159574468085,1.0828723404255,3.05034462,18,0.06015957,5.0704225352113,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,29,29,1,,,,0.087127659574468,3.00440205,,,,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,1,1,1,,,,0,0,,,,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,397,398,1.0025188916877,"Link Clicks",11,0.1149173553719,1.2640909090909,3.17610781,11,0.11491736,2.7638190954774,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,36,36,1,"Link Clicks",4,0.021477272727273,0.085909090909091,2.38636364,4,0.02147727,11.111111111111,2020-08-01,2020-08-26
