"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",unknown,23,24,1.0434782608696,,,,0.090795521508544,3.78314673,,,,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",male,2416,2656,1.0993377483444,"Link Clicks",127,0.062436815315587,7.9294755450796,2.98549531,127,0.06243682,4.7816265060241,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,2556,2683,1.0496870109546,"Link Clicks",97,0.093811638488783,9.0997289334119,3.39162465,97,0.09381164,3.6153559448379,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,3384,3667,1.0836288416076,"Link Clicks",17,0.52914817036593,8.9955188962208,2.45310033,17,0.52914817,0.46359421870739,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,3564,3773,1.0586419753086,"Link Clicks",8,0.96921415716857,7.7537132573485,2.05505255,8,0.96921416,0.21203286509409,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",unknown,45,45,1,,,,0.080767846430714,1.79484103,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,1743,1881,1.07917383821,"Link Clicks",19,0.37258771929825,7.0791666666667,3.76351232,19,0.37258772,1.010101010101,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,2327,2477,1.0644606789858,"Link Clicks",33,0.29757016594517,9.8198154761905,3.96439866,33,0.29757017,1.3322567622124,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,23,27,1.1739130434783,,,,0.091017857142857,3.37103175,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,16,25,1.5625,,,,0.100768321513,4.03073286,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,4279,4576,1.0694087403599,"Link Clicks",77,0.17523218507261,13.492878250591,2.9486185,77,0.17523219,1.6826923076923,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,1270,1312,1.0330708661417,"Link Clicks",17,0.20331490752329,3.456353427896,2.63441572,17,0.20331491,1.2957317073171,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,6333,6662,1.051950102637,"Link Clicks",209,0.078689017573671,16.446004672897,2.46862874,209,0.07868902,3.1371960372261,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,258,265,1.0271317829457,"Link Clicks",5,0.12465186915888,0.62325934579439,2.35192206,5,0.12465187,1.8867924528302,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",unknown,41,41,1,"Link Clicks",2,0.070367990654206,0.14073598130841,3.43258491,2,0.07036799,4.8780487804878,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,383,432,1.1279373368146,"Link Clicks",39,0.031721931355439,1.2371553228621,2.86378547,39,0.03172193,9.0277777777778,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,4789,5163,1.0780956358321,"Link Clicks",315,0.050833688837179,16.012611983711,3.10141623,315,0.05083369,6.1011040092969,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,10,14,1.4,,,,0.040232693426411,2.87376382,,,,2020-08-01,2020-08-26
