"Campaign Name","Ad Set Name",Country,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH","Truck Driver",CH,active,adset,27,27,1,"Link Clicks",6,0,0,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Hairdresser,CH,active,adset,8,8,1,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Legal Counsel",CH,active,adset,0,1,0,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Preschool teacher",CH,active,adset,5,5,1,"Link Clicks",2,0,0,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Preschool teacher",FR,active,adset,2,2,1,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
