"country","job","variation","gender","impr_rel"
"FR","Truck driver","image-road","female",0.456578263130525
"FR","Truck driver","feminine","female",0.509904622157007
"FR","Truck driver","image-lipstick","female",0.467587034813926
"FR","Truck driver","gendered","female",0.493196150016595
"FR","Truck driver","baseline","female",0.502423975319524
