"country","job","impr_rel_diff","ctr_diff"
"FR","Nurse",0.04,NA
"FR","Truck Driver",-0.4,NA
"FR","Nurse",0,NA
"FR","Truck Driver",0,0
"FR","Nurse",0,NA
"FR","Truck Driver",-0.037037037037037,0.0054945054945055
"FR","Hairdresser",NA,NA
"FR","Legal Counsel",NA,NA
"FR","Machine Learning",NA,NA
"FR","Nurse",0.0133333333333334,NA
"FR","Truck Driver",-0.658536585365854,0.0630252100840336
"FR","Hairdresser",0.0752688172043011,-0.00325581395348837
"FR","Legal Counsel",0.2,NA
"FR","Machine Learning",-0.0555555555555556,-0.0402476780185758
"FR","Nurse",0.173333333333333,NA
"FR","Child care worker",0.698630136986301,NA
"FR","Truck Driver",-0.670731707317073,0.0527169505271695
"FR","Hairdresser",0.0434782608695652,-0.0246212121212121
"FR","Legal Counsel",-0.157894736842105,NA
"FR","Machine Learning",-0.0181818181818181,-0.0343915343915344
"FR","Nurse",0.216374269005848,NA
"FR","Child care worker",0.704697986577181,NA
"FR","Truck Driver",-0.702898550724638,0.0306175402179554
"FR","Hairdresser",0.126436781609195,-0.0273899033297529
"FR","Legal Counsel",-0.194690265486726,NA
"FR","Machine Learning",0.0382513661202186,-0.0260765550239234
"FR","Nurse",0.213114754098361,NA
"FR","Child care worker",0.743362831858407,NA
"FR","Truck Driver",-0.73936170212766,0.0122948261873557
"FR","Hairdresser",0.277922077922078,0.012648417851085
"FR","Legal Counsel",-0.185185185185185,-0.00142045454545455
"FR","Machine Learning",0.0197368421052631,-0.0277549253085083
"FR","Nurse",0.330788804071247,0.0115377065627522
"FR","Child care worker",0.773228346456693,0.0116193013617525
"FR","Truck Driver",-0.722117202268431,-0.027457305644541
"FR","Hairdresser",0.26378896882494,0.00967927362181607
"FR","Legal Counsel",-0.184615384615385,-0.000350054258410053
"FR","Machine Learning",-0.00291545189504377,-0.0231198150414797
"FR","Nurse",0.355216881594373,0.0150424661843347
"FR","Child care worker",0.762039660056657,0.0157326596233349
"FR","Truck Driver",-0.738528138528139,-0.0250059365188254
"FR","Hairdresser",0.265486725663717,0.00191675794085432
"FR","Legal Counsel",-0.193227091633466,-0.00180960036274449
"FR","Machine Learning",-0.0105820105820106,-0.0231122434694963
"FR","Nurse",0.371727748691099,0.0144274809160305
"FR","Child care worker",0.773487773487773,0.014051985750099
"FR","Truck Driver",-0.73605655930872,-0.0234917043740573
"FR","Hairdresser",0.262729124236253,0.00628230261985387
"FR","Legal Counsel",-0.181073703366697,-0.000534155110426296
"FR","Machine Learning",-0.0154577883472057,-0.0204889748724389
"FR","Nurse",0.388621022179364,0.00960392569225377
"FR","Child care worker",0.770833333333333,0.00701128936423054
"FR","Truck Driver",-0.749633967789165,-0.0318676747657149
"FR","Hairdresser",0.271593944790739,-0.0029654893742338
"FR","Legal Counsel",-0.13075780089153,-0.00157013376461471
"FR","Machine Learning",-0.0438247011952191,-0.0150763358778626
"FR","Nurse",0.419031719532554,0.013211629479378
"FR","Child care worker",0.787192118226601,0.00949405855690311
"FR","Truck Driver",-0.746770025839793,-0.036770921386306
"FR","Hairdresser",0.254841208365608,0.00176330176330176
"FR","Legal Counsel",-0.0738801628853984,0.000472296476967721
"FR","Machine Learning",-0.0170278637770898,-0.011332829971596
"FR","Nurse",0.455670103092783,0.0163390276704724
"FR","Child care worker",0.775609756097561,-0.00195094760312152
"FR","Truck Driver",-0.758677685950413,-0.0482370309334981
"FR","Hairdresser",0.252020573108009,0.00479860169530609
"FR","Legal Counsel",-0.0480349344978166,0.00000955657492354885
"FR","Machine Learning",-0.0115774240231548,-0.0152005479486487
"FR","Nurse",0.468586387434555,0.0151032199713741
"FR","Child care worker",0.777262180974478,-0.00676312735712215
"FR","Truck Driver",-0.761603375527426,-0.0492660696306502
"FR","Hairdresser",0.253352152434721,0.00554760809959297
"FR","Legal Counsel",-0.0416024653312789,0.000941798740463099
"FR","Machine Learning",-0.00200400801603201,-0.0145809906291834
"FR","Nurse",0.474797759800871,0.0149939008538805
"FR","Child care worker",0.779573842762675,-0.00396917148362236
"FR","Truck Driver",-0.761736496718829,-0.0494220776067214
"FR","Hairdresser",0.262599469496021,0.0063780908046672
"FR","Legal Counsel",-0.0100430416068866,0.00214371980676329
"FR","Machine Learning",0.0075282308657465,-0.0142087273860822
"FR","Nurse",0.494674556213018,0.0135935219849398
"FR","Child care worker",0.786759581881533,0.00376760168445954
"FR","Truck Driver",-0.75875486381323,-0.0503140165572366
"FR","Hairdresser",0.262357414448669,0.00713161926054735
"FR","Legal Counsel",0.00225733634311509,0.0035587623822918
"FR","Machine Learning",0.0181180596142607,-0.0137731671313761
"FR","Nurse",0.501936912008854,0.0132187013837714
"FR","Child care worker",0.792328042328042,0.00373704373986415
"FR","Truck Driver",-0.764155357978475,-0.0491452991452992
"FR","Hairdresser",0.271289537712895,0.00688547898810617
"FR","Legal Counsel",0.0157112526539278,0.002188052784519
"FR","Machine Learning",0.0285087719298245,-0.011284275173632
"FR","Nurse",0.510010537407798,0.0137286240611095
"FR","Child care worker",0.796717171717172,0.00546479094555724
"FR","Truck Driver",-0.759101123595506,-0.0489955689106842
"FR","Hairdresser",0.281015579919215,0.00547481671077177
"FR","Legal Counsel",0.0370072405470636,0.00155223849642207
"FR","Machine Learning",0.0316554229372081,-0.0108302548409428
"FR","Nurse",0.524762381190595,0.012576322696505
"FR","Child care worker",0.794749403341289,0.00785502226620485
"FR","Truck Driver",-0.75825117873982,-0.0405994654052166
"FR","Hairdresser",0.289283731260411,0.00436315676141258
