"country","job","gender","clicks","impressions","datetime","ctr","time","impr_rel"
"ES","Nurse","female",1,78,2020-09-11 15:41:00,0.0128205128205128,0,0.672413793103448
"ES","Nurse","male",NA,36,2020-09-11 15:41:00,NA,0,0.310344827586207
"ES","Nurse","undetermined",NA,2,2020-09-11 15:41:00,NA,0,0.0172413793103448
"ES","Nurse","female",1,113,2020-09-11 15:43:00,0.00884955752212389,0.0333,0.672619047619048
"ES","Nurse","male",NA,52,2020-09-11 15:43:00,NA,0.0333,0.30952380952381
"ES","Nurse","undetermined",NA,3,2020-09-11 15:43:00,NA,0.0333,0.0178571428571429
"ES","Child care worker","female",NA,268,2020-09-11 15:55:00,NA,0.2333,1
"ES","Truck Driver","male",NA,79,2020-09-11 15:55:00,NA,0.2333,0.598484848484849
"ES","Truck Driver","female",NA,53,2020-09-11 15:55:00,NA,0.2333,0.401515151515151
"ES","Nurse","female",1,187,2020-09-11 15:55:00,0.0053475935828877,0.2333,0.682481751824818
"ES","Nurse","male",NA,86,2020-09-11 15:55:00,NA,0.2333,0.313868613138686
"ES","Nurse","undetermined",NA,1,2020-09-11 15:55:00,NA,0.2333,0.00364963503649635
"ES","Hairdresser","female",2,109,2020-09-11 15:55:00,0.018348623853211,0.2333,0.54228855721393
"ES","Hairdresser","male",1,92,2020-09-11 15:55:00,0.0108695652173913,0.2333,0.45771144278607
"ES","Machine Learning","female",NA,56,2020-09-11 15:59:00,NA,0.3,0.528301886792453
"ES","Machine Learning","male",1,49,2020-09-11 15:59:00,0.0204081632653061,0.3,0.462264150943396
"ES","Machine Learning","undetermined",NA,1,2020-09-11 15:59:00,NA,0.3,0.00943396226415094
"ES","Nurse","female",3,195,2020-09-11 15:59:00,0.0153846153846154,0.3,0.711678832116788
"ES","Nurse","male",NA,78,2020-09-11 15:59:00,NA,0.3,0.284671532846715
"ES","Nurse","undetermined",NA,1,2020-09-11 15:59:00,NA,0.3,0.00364963503649635
"ES","Hairdresser","female",2,109,2020-09-11 15:59:00,0.018348623853211,0.3,0.54228855721393
"ES","Hairdresser","male",1,92,2020-09-11 15:59:00,0.0108695652173913,0.3,0.45771144278607
"ES","Child care worker","female",NA,158,2020-09-11 15:59:00,NA,0.3,0.58955223880597
"ES","Child care worker","male",NA,103,2020-09-11 15:59:00,NA,0.3,0.384328358208955
"ES","Child care worker","undetermined",NA,7,2020-09-11 15:59:00,NA,0.3,0.0261194029850746
"ES","Truck Driver","male",NA,83,2020-09-11 15:59:00,NA,0.3,0.628787878787879
"ES","Truck Driver","female",NA,49,2020-09-11 15:59:00,NA,0.3,0.371212121212121
"ES","Legal Counsel","female",NA,105,2020-09-11 15:59:00,NA,0.3,0.719178082191781
"ES","Legal Counsel","male",NA,41,2020-09-11 15:59:00,NA,0.3,0.280821917808219
"ES","Machine Learning","female",NA,213,2020-09-11 16:08:00,NA,0.45,0.513253012048193
"ES","Machine Learning","male",1,199,2020-09-11 16:08:00,0.0050251256281407,0.45,0.479518072289157
"ES","Machine Learning","undetermined",NA,3,2020-09-11 16:08:00,NA,0.45,0.0072289156626506
