"country","job","gender","clicks","impressions","ctr","datetime","time","impr_rel"
"CH","Nurse","undetermined",3,292,0.0103,2020-09-02 20:47:53,0.518940555585755,0.333333333333333
"CH","Truck driver","female",1,610,0.0016,2020-09-02 20:47:53,0.518940555585755,0.307925290257446
"CH","Truck driver","undetermined",5,644,0.0078,2020-09-02 20:47:53,0.518940555585755,0.325088339222615
"CH","Hairdresser","male",6,535,0.0112,2020-09-02 20:47:53,0.518940555585755,0.254398478364242
"CH","Hairdresser","female",6,842,0.0071,2020-09-02 20:47:53,0.518940555585755,0.40038040893961
"CH","Hairdresser","undetermined",4,726,0.0055,2020-09-02 20:47:53,0.518940555585755,0.345221112696148
"CH","Child care worker","female",7,258,0.0271,2020-09-02 20:47:53,0.518940555585755,0.333333333333333
"CH","Nurse","female",5,322,0.0155,2020-09-02 20:47:53,0.518940555585755,0.367579908675799
"CH","Child care worker","undetermined",2,331,0.006,2020-09-02 20:47:53,0.518940555585755,0.42764857881137
"CH","Nurse","male",0,262,0,2020-09-02 20:47:53,0.518940555585755,0.299086757990868
"CH","Truck driver","male",8,727,0.011,2020-09-02 20:47:53,0.518940555585755,0.366986370519939
"CH","Child care worker","male",1,185,0.0054,2020-09-02 21:01:07,0.739503888951408,0.239018087855297
"CH","Nurse","undetermined",3,292,0.0103,2020-09-02 21:01:07,0.739503888951408,0.333333333333333
"CH","Truck driver","female",1,613,0.0016,2020-09-02 21:01:07,0.739503888951408,0.307730923694779
"CH","Truck driver","undetermined",5,646,0.0077,2020-09-02 21:01:07,0.739503888951408,0.32429718875502
"CH","Hairdresser","male",6,535,0.0112,2020-09-02 21:01:07,0.739503888951408,0.254277566539924
"CH","Hairdresser","female",6,843,0.0071,2020-09-02 21:01:07,0.739503888951408,0.400665399239544
"CH","Hairdresser","undetermined",4,726,0.0055,2020-09-02 21:01:07,0.739503888951408,0.345057034220532
"CH","Child care worker","female",7,258,0.0271,2020-09-02 21:01:07,0.739503888951408,0.333333333333333
"CH","Nurse","female",5,322,0.0155,2020-09-02 21:01:07,0.739503888951408,0.367579908675799
"CH","Child care worker","undetermined",2,331,0.006,2020-09-02 21:01:07,0.739503888951408,0.42764857881137
"CH","Nurse","male",0,262,0,2020-09-02 21:01:07,0.739503888951408,0.299086757990868
"CH","Truck driver","male",8,733,0.0109,2020-09-02 21:01:07,0.739503888951408,0.367971887550201
"CH","Child care worker","male",1,185,0.0054,2020-09-02 21:02:06,0.75594833334287,0.239018087855297
"CH","Nurse","undetermined",3,292,0.0103,2020-09-02 21:02:06,0.75594833334287,0.333333333333333
"CH","Truck driver","female",1,613,0.0016,2020-09-02 21:02:06,0.75594833334287,0.307730923694779
"CH","Truck driver","undetermined",5,646,0.0077,2020-09-02 21:02:06,0.75594833334287,0.32429718875502
"CH","Hairdresser","male",6,535,0.0112,2020-09-02 21:02:06,0.75594833334287,0.254277566539924
"CH","Hairdresser","female",6,843,0.0071,2020-09-02 21:02:06,0.75594833334287,0.400665399239544
"CH","Child care worker","undetermined",2,331,0.006,2020-09-02 21:02:06,0.75594833334287,0.42764857881137
"CH","Nurse","male",0,262,0,2020-09-02 21:02:06,0.75594833334287,0.299086757990868
"CH","Truck driver","male",8,733,0.0109,2020-09-02 21:02:06,0.75594833334287,0.367971887550201
"CH","Child care worker","female",7,258,0.0271,2020-09-02 21:02:06,0.75594833334287,0.333333333333333
"CH","Nurse","female",5,322,0.0155,2020-09-02 21:02:06,0.75594833334287,0.367579908675799
"CH","Hairdresser","undetermined",4,726,0.0055,2020-09-02 21:02:06,0.75594833334287,0.345057034220532
"CH","Child care worker","male",1,185,0.0054,2020-09-02 21:06:41,0.832257777849833,0.239018087855297
"CH","Nurse","undetermined",3,292,0.0103,2020-09-02 21:06:41,0.832257777849833,0.333333333333333
"CH","Truck driver","female",1,613,0.0016,2020-09-02 21:06:41,0.832257777849833,0.307730923694779
"CH","Truck driver","undetermined",5,646,0.0077,2020-09-02 21:06:41,0.832257777849833,0.32429718875502
"CH","Hairdresser","male",6,535,0.0112,2020-09-02 21:06:41,0.832257777849833,0.254277566539924
"CH","Hairdresser","female",6,843,0.0071,2020-09-02 21:06:41,0.832257777849833,0.400665399239544
"CH","Hairdresser","undetermined",4,726,0.0055,2020-09-02 21:06:41,0.832257777849833,0.345057034220532
"CH","Child care worker","female",7,258,0.0271,2020-09-02 21:06:41,0.832257777849833,0.333333333333333
"CH","Nurse","female",5,322,0.0155,2020-09-02 21:06:41,0.832257777849833,0.367579908675799
"CH","Child care worker","undetermined",2,331,0.006,2020-09-02 21:06:41,0.832257777849833,0.42764857881137
"CH","Nurse","male",0,262,0,2020-09-02 21:06:41,0.832257777849833,0.299086757990868
"CH","Truck driver","male",8,733,0.0109,2020-09-02 21:06:41,0.832257777849833,0.367971887550201
"CH","Child care worker","female",7,258,0.0271,2020-09-02 21:15:43,0.982788611120648,0.333333333333333
"CH","Nurse","female",5,322,0.0155,2020-09-02 21:15:43,0.982788611120648,0.367579908675799
"CH","Child care worker","undetermined",2,331,0.006,2020-09-02 21:15:43,0.982788611120648,0.42764857881137
"CH","Nurse","male",0,262,0,2020-09-02 21:15:43,0.982788611120648,0.299086757990868
"CH","Truck driver","male",8,733,0.0109,2020-09-02 21:15:43,0.982788611120648,0.367971887550201
"CH","Child care worker","male",1,185,0.0054,2020-09-02 21:15:43,0.982788611120648,0.239018087855297
"CH","Nurse","undetermined",3,292,0.0103,2020-09-02 21:15:43,0.982788611120648,0.333333333333333
"CH","Truck driver","female",1,613,0.0016,2020-09-02 21:15:43,0.982788611120648,0.307730923694779
"CH","Truck driver","undetermined",5,646,0.0077,2020-09-02 21:15:43,0.982788611120648,0.32429718875502
"CH","Hairdresser","male",6,535,0.0112,2020-09-02 21:15:43,0.982788611120648,0.254277566539924
"CH","Hairdresser","female",6,843,0.0071,2020-09-02 21:15:43,0.982788611120648,0.400665399239544
"CH","Hairdresser","undetermined",4,726,0.0055,2020-09-02 21:15:43,0.982788611120648,0.345057034220532
"CH","Child care worker","female",7,266,0.0263,2020-09-02 21:31:29,1.24580916669634,0.337992376111817
"CH","Nurse","female",5,323,0.0155,2020-09-02 21:31:29,1.24580916669634,0.361297539149888
"CH","Child care worker","male",1,188,0.0053,2020-09-02 21:31:29,1.24580916669634,0.238881829733164
"CH","Nurse","undetermined",3,300,0.01,2020-09-02 21:31:29,1.24580916669634,0.335570469798658
"CH","Truck driver","female",1,624,0.0016,2020-09-02 21:31:29,1.24580916669634,0.308758040573973
"CH","Truck driver","undetermined",5,651,0.0077,2020-09-02 21:31:29,1.24580916669634,0.322117763483424
"CH","Hairdresser","male",6,540,0.0111,2020-09-02 21:31:29,1.24580916669634,0.255439924314097
"CH","Hairdresser","female",6,846,0.0071,2020-09-02 21:31:29,1.24580916669634,0.400189214758751
"CH","Legal Counsel","male",0,3,0,2020-09-02 21:31:29,1.24580916669634,0.230769230769231
"CH","Legal Counsel","female",1,2,0.5,2020-09-02 21:31:29,1.24580916669634,0.153846153846154
"CH","Legal Counsel","undetermined",0,8,0,2020-09-02 21:31:29,1.24580916669634,0.615384615384615
"CH","Machine Learning","male",0,1,0,2020-09-02 21:31:29,1.24580916669634,1
"CH","Hairdresser","undetermined",4,728,0.0055,2020-09-02 21:31:29,1.24580916669634,0.344370860927152
"CH","Child care worker","undetermined",2,333,0.006,2020-09-02 21:31:29,1.24580916669634,0.423125794155019
