"country","job","impr_rel_diff","ctr_diff"
"DE","Truck driver",-0.373134328358209,0
"DE","Truck driver",-0.128062015503876,0.0034
"DE","Legal Counsel",-0.156091864538731,0.0053
"DE","Nurse",-0.129113078336396,0.0038
"DE","Hairdresser",-0.0661186561829878,0.0024
"DE","Child care worker",-0.0372556252305423,0.0028
"DE","Nurse",-0.131408661025386,0.0026
"DE","Truck driver",-0.142977884209044,0.004
"DE","Legal Counsel",-0.155874673629243,0.0047
"DE","Child care worker",-0.0363482671174979,0.0022
"DE","Hairdresser",-0.0677310714731196,0.0029
"DE","Truck driver",-0.207616788561639,0.0034
"DE","Legal Counsel",-0.156041441555965,0.0026
"DE","Nurse",-0.127934959349594,0.0026
"DE","Hairdresser",-0.0379485857869983,0.003
"DE","Child care worker",-0.0319719335407427,0.0042
"DE","Child care worker",-0.0327463469464219,0.003
"DE","Hairdresser",-0.0301160570001469,0.0022
"DE","Nurse",-0.122022279348758,0.0017
"DE","Truck driver",-0.218288604290725,0.0018
"DE","Legal Counsel",-0.154318242461976,0.0017
"DE","Truck driver",-0.217238848568866,0.0016
"DE","Legal Counsel",-0.15395234914273,0.0018
"DE","Nurse",-0.122310791120254,0.0016
"DE","Hairdresser",-0.0300176574455562,0.002
"DE","Child care worker",-0.030402752327886,0.0026
"DE","Nurse",-0.122266998199434,0.0016
"DE","Truck driver",-0.217029606068021,0.0014
"DE","Legal Counsel",-0.153842726665182,0.0017
"DE","Hairdresser",-0.0304458848949126,0.0018
"DE","Child care worker",-0.0303052978150254,0.0024
"DE","Child care worker",-0.029899337649216,0.0023
"DE","Hairdresser",-0.0300349014402989,0.0016
"DE","Truck driver",-0.216972664218686,0.0016
"DE","Legal Counsel",-0.154031394933999,0.0017
"DE","Nurse",-0.122024447780399,0.0018
"DE","Nurse",-0.121877950390524,0.0019
"DE","Truck driver",-0.216486431340543,0.0017
"DE","Legal Counsel",-0.154024629662681,0.0017
"DE","Hairdresser",-0.0299065420560747,0.0018
"DE","Child care worker",-0.0291828793774319,0.0022
"DE","Child care worker",-0.0291806958473625,0.0022
"DE","Hairdresser",-0.0299065420560747,0.0018
"DE","Truck driver",-0.216600016322533,0.0017
"DE","Legal Counsel",-0.154024629662681,0.0017
"DE","Nurse",-0.121819352070371,0.002
"DE","Truck driver",-0.216667346855487,0.0017
"DE","Legal Counsel",-0.154052124241342,0.0017
"DE","Nurse",-0.121637276354743,0.002
"DE","Hairdresser",-0.0298588223719809,0.0018
"DE","Child care worker",-0.0290928128038292,0.0022
"DE","Nurse",-0.121685402900541,0.002
"DE","Truck driver",-0.216748969513937,0.0017
"DE","Legal Counsel",-0.153925112687999,0.0017
"DE","Child care worker",-0.0290949887808527,0.0022
"DE","Hairdresser",-0.0297097884899164,0.0019
"DE","Child care worker",-0.029332535169111,0.0023
"DE","Hairdresser",-0.0298617602203965,0.0019
"DE","Nurse",-0.121829807320946,0.002
"DE","Truck driver",-0.216766662585201,0.0017
"DE","Legal Counsel",-0.153938852934613,0.0017
"DE","Nurse",-0.121995192307692,0.002
"DE","Truck driver",-0.216685033263948,0.0018
"DE","Legal Counsel",-0.153914829033122,0.0017
"DE","Hairdresser",-0.0298110979929162,0.0019
"DE","Child care worker",-0.0294932255408339,0.0023
"DE","Nurse",-0.121934458617876,0.002
"DE","Truck driver",-0.216510839831789,0.0018
"DE","Legal Counsel",-0.153928571428571,0.0017
"DE","Child care worker",-0.0295219541435636,0.0023
"DE","Hairdresser",-0.0298617602203965,0.0019
"DE","Child care worker",-0.0301143821488843,0.0023
"DE","Hairdresser",-0.0300674179420304,0.0017
"DE","Nurse",-0.122014091768345,0.002
"DE","Truck driver",-0.216680962300372,0.0018
"DE","Legal Counsel",-0.153942316278239,0.0017
"DE","Nurse",-0.122041324799175,0.0019
"DE","Truck driver",-0.216531895777179,0.0018
"DE","Legal Counsel",-0.153904540786713,0.0017
"DE","Hairdresser",-0.030261280322787,0.0018
"DE","Child care worker",-0.0299962504686914,0.0023
"FR","Truck driver",NA,NA
"FR","Truck driver",NA,NA
"FR","Machine Learning",NA,NA
"FR","Nurse",-0.0156062424969988,0.0028
"FR","Legal Counsel",0.0869565217391304,0.0000999999999999994
"FR","Truck driver",-0.0861176470588236,0.0124
"FR","Machine Learning",0.0277662660588479,0.0005
"FR","Hairdresser",0.216090425531915,0.0001
"FR","Child care worker",-0.265957446808511,-0.0191
"FR","Legal Counsel",0.0884861407249466,0
"FR","Truck driver",-0.0948988315759476,0.0097
"FR","Nurse",-0.00360490266762797,0.0058
"FR","Machine Learning",0.028826634185952,0.0004
"FR","Hairdresser",0.224815724815725,-0.0017
"FR","Child care worker",-0.0846681922196796,-0.023
"FR","Nurse",-0.00360490266762797,0.0058
"FR","Child care worker",-0.0846681922196796,-0.023
"FR","Hairdresser",0.224815724815725,-0.0017
"FR","Legal Counsel",0.0884861407249466,0
"FR","Truck driver",-0.0948988315759476,0.0097
"FR","Machine Learning",0.028826634185952,0.0004
"FR","Legal Counsel",0.0884861407249466,0
"FR","Truck driver",-0.0948988315759476,0.0097
"FR","Nurse",-0.00360490266762797,0.0058
"FR","Machine Learning",0.028826634185952,0.0004
"FR","Hairdresser",0.224815724815725,-0.0017
"FR","Child care worker",-0.0846681922196796,-0.023
"FR","Legal Counsel",0.0884861407249466,0
"FR","Truck driver",-0.0948988315759476,0.0097
"FR","Machine Learning",0.028826634185952,0.0004
"FR","Hairdresser",0.224815724815725,-0.0017
"FR","Nurse",-0.00360490266762797,0.0058
"FR","Child care worker",-0.0846681922196796,-0.023
"FR","Legal Counsel",0.0884861407249466,0
"FR","Truck driver",-0.0948988315759476,0.0097
"FR","Machine Learning",0.028826634185952,0.0004
"FR","Hairdresser",0.224815724815725,-0.0017
"FR","Nurse",-0.00360490266762797,0.0058
"FR","Child care worker",-0.0846681922196796,-0.023
"FR","Child care worker",0.0865116279069767,-0.0011
"FR","Hairdresser",0.230677409728439,-0.000700000000000001
"FR","Legal Counsel",0.0881811002895498,0
"FR","Truck driver",-0.084503799217131,0.0069
"FR","Machine Learning",0.0366533864541833,0.0003
