"Campaign Name",Region,"Ad Set Name","Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH",Neuchâtel,Hairdresser,active,adset,96,101,1.0520833333333,"Link Clicks",3,0.49214912280702,0.16404970760234,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,Hairdresser,active,adset,341,362,1.0615835777126,"Link Clicks",14,2.0288596491228,0.14491854636591,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,Hairdresser,active,adset,313,337,1.0766773162939,"Link Clicks",14,1.637149122807,0.11693922305764,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva",Hairdresser,active,adset,179,182,1.0167597765363,"Link Clicks",17,0.91399122807018,0.053764189886481,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,Hairdresser,active,adset,173,181,1.0462427745665,"Link Clicks",5,0.90394736842105,0.18078947368421,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,Hairdresser,active,adset,139,147,1.0575539568345,"Link Clicks",8,0.71311403508772,0.089139254385965,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,Hairdresser,active,adset,4,4,1,"Link Clicks",1,0.010043859649123,0.010043859649123,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,Hairdresser,active,adset,39,41,1.0512820512821,,,0.17074561403509,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,"Legal Counsel",active,adset,35,37,1.0571428571429,,,0.18077142857143,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Unknown,"Legal Counsel",active,adset,1,1,1,,,0.010042857142857,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,"Legal Counsel",active,adset,186,200,1.0752688172043,"Link Clicks",6,0.74317142857143,0.1238619047619,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,"Legal Counsel",active,adset,458,476,1.0393013100437,"Link Clicks",4,1.9282285714286,0.48205714285714,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva","Legal Counsel",active,adset,371,398,1.0727762803235,"Link Clicks",9,1.6068571428571,0.17853968253968,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,"Legal Counsel",active,adset,259,273,1.0540540540541,"Link Clicks",5,1.1750142857143,0.23500285714286,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Neuchâtel,"Legal Counsel",active,adset,160,166,1.0375,"Link Clicks",2,0.7733,0.38665,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,"Legal Counsel",active,adset,189,198,1.047619047619,"Link Clicks",2,0.58248571428571,0.29124285714286,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,"Legal Counsel",active,adset,6,7,1.1666666666667,,,0.030128571428571,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,"Machine Learning",active,adset,135,156,1.1555555555556,"Link Clicks",1,0.56762169680111,0.56762169680111,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,"Machine Learning",active,adset,4,5,1.25,"Link Clicks",1,0.06970792767733,0.06970792767733,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,"Machine Learning",active,adset,129,144,1.1162790697674,"Link Clicks",2,0.72695410292072,0.36347705146036,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Neuchâtel,"Machine Learning",active,adset,125,130,1.04,"Link Clicks",4,0.64728789986092,0.16182197496523,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,"Machine Learning",active,adset,329,362,1.1003039513678,"Link Clicks",5,1.9617802503477,0.39235605006954,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,"Machine Learning",active,adset,264,289,1.094696969697,"Link Clicks",5,1.3543254520167,0.27086509040334,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva","Machine Learning",active,adset,228,250,1.0964912280702,"Link Clicks",4,1.5634492350487,0.39086230876217,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,"Machine Learning",active,adset,44,47,1.0681818181818,"Link Clicks",1,0.16929068150209,0.16929068150209,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,Nurse,active,adset,375,410,1.0933333333333,"Link Clicks",4,1.4842406876791,0.37106017191977,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,Nurse,active,adset,6,6,1,"Link Clicks",1,0.030085959885387,0.030085959885387,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Neuchâtel,Nurse,active,adset,111,113,1.018018018018,"Link Clicks",4,0.46131805157593,0.11532951289398,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,Nurse,active,adset,188,199,1.0585106382979,"Link Clicks",3,0.89255014326648,0.29751671442216,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,Nurse,active,adset,373,391,1.0482573726542,"Link Clicks",7,1.9054441260745,0.27220630372493,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,Nurse,active,adset,218,231,1.0596330275229,"Link Clicks",6,0.93266475644699,0.1554441260745,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva",Nurse,active,adset,265,280,1.0566037735849,"Link Clicks",3,1.0830945558739,0.36103151862464,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,Nurse,active,adset,52,53,1.0192307692308,,,0.21060171919771,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,"Preschool teacher",active,adset,262,275,1.0496183206107,"Link Clicks",16,1.3664835164835,0.08540521978022,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,"Preschool teacher",active,adset,4,4,1,,,0.0101221001221,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva","Preschool teacher",active,adset,321,330,1.0280373831776,"Link Clicks",23,1.8928327228327,0.082297074905771,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,"Preschool teacher",active,adset,206,220,1.0679611650485,"Link Clicks",13,1.2045299145299,0.092656147271532,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,"Preschool teacher",active,adset,416,435,1.0456730769231,"Link Clicks",30,2.2774725274725,0.075915750915751,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,"Preschool teacher",active,adset,65,68,1.0461538461538,"Link Clicks",3,0.3340293040293,0.1113431013431,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,"Preschool teacher",active,adset,115,122,1.0608695652174,"Link Clicks",1,0.48586080586081,0.48586080586081,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Neuchâtel,"Preschool teacher",active,adset,139,143,1.0287769784173,"Link Clicks",7,0.71866910866911,0.10266701552416,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Rhône-Alpes,"Truck Driver",active,adset,6,6,1,,,0.020559254327563,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Bern,"Truck Driver",active,adset,247,252,1.0202429149798,"Link Clicks",12,0.88404793608522,0.073670661340435,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Vaud,"Truck Driver",active,adset,481,491,1.02079002079,"Link Clicks",28,2.354034620506,0.084072665018071,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Valais,"Truck Driver",active,adset,373,383,1.0268096514745,"Link Clicks",26,1.881171770972,0.072352760422001,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Neuchâtel,"Truck Driver",active,adset,139,142,1.0215827338129,"Link Clicks",5,0.57565912117177,0.11513182423435,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Fribourg,"Truck Driver",active,adset,276,275,0.9963768115942,"Link Clicks",16,1.22327563249,0.076454727030626,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Canton of Geneva","Truck Driver",active,adset,166,166,1,"Link Clicks",9,0.80181091877497,0.089090102086107,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Jura,"Truck Driver",active,adset,33,33,1,"Link Clicks",4,0.15419440745672,0.038548601864181,2020-08-31,Ongoing,2020-09-01,2020-09-02
