"Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Sales high",male,active,adset,6,63,10.5,,,0,,2020-09-24,Ongoing,2020-09-01,2020-09-24
"Sales high",female,active,adset,0,41,0,,,0,,2020-09-24,Ongoing,2020-09-01,2020-09-24
"Sales high",unknown,active,adset,0,6,0,,,0,,2020-09-24,Ongoing,2020-09-01,2020-09-24
