"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",unknown,14,14,1,,,,0.039955555555556,2.85396825,,,,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",male,945,992,1.0497354497354,"Link Clicks",57,0.0555522417154,3.1664777777778,3.19201389,57,0.05555224,5.7459677419355,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,1578,1627,1.031051964512,"Link Clicks",64,0.090368229166667,5.7835666666667,3.55474288,64,0.09036823,3.9336201598033,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,1529,1569,1.0261608894702,"Link Clicks",8,0.5425,4.34,2.76609305,8,0.5425,0.50987890376036,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,1453,1506,1.036476256022,"Link Clicks",3,1.2166666666667,3.65,2.42363878,3,1.21666667,0.199203187251,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",unknown,13,14,1.0769230769231,,,,0.04,2.85714286,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,745,774,1.0389261744966,"Link Clicks",10,0.37456725146199,3.7456725146199,4.83937017,10,0.37456725,1.2919896640827,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,1027,1064,1.0360272638754,"Link Clicks",20,0.23373391812865,4.6746783625731,4.3934947,20,0.23373392,1.8796992481203,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,10,12,1.2,,,,0.029649122807018,2.47076023,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,10,11,1.1,,,,0.039630484988453,3.60277136,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,2193,2234,1.0186958504332,"Link Clicks",41,0.16939615839576,6.9452424942263,3.10888205,41,0.16939616,1.8352730528201,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,585,594,1.0153846153846,"Link Clicks",9,0.1772363356428,1.5951270207852,2.68539902,9,0.17723634,1.5151515151515,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,3447,3517,1.0203075137801,"Link Clicks",117,0.074700854700855,8.74,2.4850725,117,0.07470085,3.3266988911004,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,160,162,1.0125,"Link Clicks",2,0.2,0.4,2.4691358,2,0.2,1.2345679012346,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",unknown,19,20,1.0526315789474,"Link Clicks",1,0.05,0.05,2.5,1,0.05,5,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,205,214,1.0439024390244,"Link Clicks",24,0.02875,0.69,3.22429907,24,0.02875,11.214953271028,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,2557,2618,1.0238560813453,"Link Clicks",150,0.054066666666667,8.11,3.09778457,150,0.05406667,5.729564553094,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,7,7,1,,,,0.01,1.42857143,,,,2020-08-01,2020-08-26
